TESTO,EMOZIONI
Non so perché ma questa ragaza mi piace molto perche ha il sorriso stampato in faccia♥️,LOVE - DELIGHT
"All'ariston bisbigliava, bloccatissima dall'emozione...purtroppo anche questo fa la differenza. La canzone, checché se ne dica, è valida. Magari di scarso spessore ma ha le potenzialità per diventare un tormentone.",TRUST
Purtroppo all'Ariston era veramente tanto emozionata e non è venuta troppo bene ma la versione studio spacca secondo me!,TRUST - SADNESS
Sei bravissima,TRUST
Elettra sposami scrivimi in privato ❤️bona,LOVE
"Sinceramente, preferisco questa versione di Elettra, voglio dire che non mostra solo diciamo il culo ma il suo bel viso e in questa versione elegante è davvero il top ♥️",LOVE
Grande musica ❤,LOVE
ultra ricca ma con meno puzza sotto il naso di tanti artisti ... a Sanremo ogni giorno scendeva dai i suoi fan e si lasciava fare tutte le foto del mondo ... complimenti,TRUST
Sempre più convinto che questo sia stato il momento più alto che ci regalerà questo 2020,LOVE
B bravissima Elettra Lamborghini ❤️,LOVE
Musica e il Corona virus scompare.....tutti uniti forza Italia.,OPTIMISM
Tutti a criticarla per come ha cantato a Sanremo ma nessuno si è accorto di quanto fosse ammalata durante l esibizione? Io non so voi ma molti al posto suo si sarebbero ritirati invece lei ha tenuto duro e nonostante stesse in condizioni pessime ha voluto provare a mettersi in gioco.... veramente bravissima e complimenti per non aver detto sul palco delle tue condizioni e della voce che sarebbe stata provata,TRUST
Mettete like se vi piace questa canzone ed è bravissima E scrivete nei commenti che è bravissima,TRUST
ELETTRA E BELLISSIMA,TRUST
"amo troppo la tua canzone, saluti dal Messico",LOVE
"la canzone è carina e orecchiabile, Elettra bellissima e il primo video che mi piace molto e legate !!",TRUST - DELIGHT
secondo me Elettra ha una voce spettacolare ed in più la canzone ha un significato molto bello,TRUST
Sei bravissima ❤️❤️ ☺️,LOVE
Sei il mio idolo,TRUST
Wow brava Elettra,TRUST
.. è sullonda solo xke si kiama lamborghini Capaci tutti,DISGUST
In questi commenti mancano un po' di insulti creativi: strano che a questo video non abbiamo dato un limite per i minori,DISAPPOINTMENT
Complimenti brava è una bella canzone. Insieme vinceremo e passerà questo brutto momento. https://youtu.be/FMY-QVoA_R4,TRUST - OPTIMISM
Ma quanto è bella elettra in versione vestiti eleganti??? Edit:la preferisco in questa versione♥️,LOVE
l unica cosa bella sono i cavalli (scusate ma dovevo),DISGUST
"Per il video ha racimolato un cavallo della Ferrari, 12 ballerine brave ma (tirocinanti) la location sarà roba sua ... totale 2 € di video",CONTEMPT
"Mi piace questa versione di Elettra, più dolce, raffinata, elegante, brava!",TRUST - DELIGHT
"Molto bella la canzone,ieri si è rivelata semplicemente umana e che l'emozione colpisce tutti anche chi è abituato ai riflettori,grade elettra",TRUST
IL CARCINOMA DELLA MUSICA ODIERNA. SE FOSSI RICCO PAGHEREI UN SICARIO PER FARLA FUORI.,ANGER
Ti adoro sei lamugliore mi sono iscrita❤,LOVE
"Io credo che sia diversa dal suo genere è stato un peccato non ascoltare bene a Sanremo la sua voce per via dell'emozione come è successo ad altri cantanti...la adoro già ed è molto emozionante,continua così Elettra ❤️❤️❤️",LOVE - SENTIMENTALITY
❤❤❤❤❤❤❤❤,LOVE
Elettra Lamborghini che twerka in faccia all'alta borghesia di sanremo è già il momento piu alto del 2020,JOY
"Raffinata, brava ,bella ,e ama la musica prima di tutto! .Ritmo perfetto!",TRUST
"Questa ragazza mi piace, perché nonostante la prendano in giro, lei sorride sempre. Addirittura posta le battute o foto comiche su di lei, senza problemi.",DELIGHT
"PER ME questa canzone è bella molto orecchiabile,si vede che Elettra ci ha messo se stessa un enorme complimento alle ballerine veramente perfette e bravissime",TRUST
"La canzone è bella, funzionerebbe bene in radio, purtroppo ieri a Sanremo Elettra era molto emozionata, ma ci sta, è umana. Il video musicale è di alta qualità, fatto bene, complimenti",TRUST - SADNESS
ELETTRA NUMERO UNO!!!!,TRUST
Complimenti brava è una bella canzone.,TRUST
"Sarò strano io, ma sto pezzo rimane in testa, a me piace",DELIGHT
"dite quello che volete, ma questo pezzo ci accompagnerà a martello per mesi",TRUST
Che bella eletta e a una voce bellissima,TRUST
Elettraaaaaa sei uno spaaasssoooooo TOP,OPTIMISM
Caio ELETTRA SEI PIÙ BRAVA DI ME MUSICA TEMPO SCOMPARE,TRUST
Io non capisco Chi ha osato mettere dislike fa schifo pk io Elettra la stimo ❤️ Dopo tutte le prese in giro lei sta ancora andando avanti Elettra continua così ❤️❤️❤️ ❤️,LOVE - ANGER
Ti adoro il mio idolo❤️❤️,LOVE
Ciao Elettra come stai lo e mia sorella ti amiamo moltissimo,LOVE
❤️❤️❤️❤️❤️❤️,LOVE
"Anche se non ha vinto a Sanremo questa bellissima canzone, però è diventato un vero tormentone, è la canzone più ascoltata da dopo Sanremo, mi dispiace dirlo ma la canzone di Diodiato non è stata apprezzata come questa è una vera perla❤",LOVE
"tante critiche a lei e la sua canzone, io dico che ce n'erano almeno 15 peggio....poteva arrivare tranquillamente tra le prime 8.....canticchiabile, orecchiabile, lei dolce e bella",TRUST - DISAPPOINTMENT
LA ADORO ❤️ MI PIACE TANTISSIMO ❤,LOVE
Questa canzone è così bella che l'ascolto mentre mangio,TRUST
"Non mi capacito di come possa piacermi questa canzone, ma prende troppo come despacito. Ciao Elettra, ti chiamo col tuo nome!!",DELIGHT
bellissimaa me la sento anche quando dormo e sto sveglia per elettra tutto vorrei che fosse la mia sorella,TRUST
"Ti voglio tanto bene,♥️",LOVE
Adoro questa canzone,LOVE
N c s. Potremmo fare tanta bella musica ma ci riduciamo a questo.,DISAPPOINTMENT
Brava! Elettra mi piace la canzone e bellissima brava davvero. A eti volevo dire che sei bellissima ❤e so anche che ti piacciono i cavalli anche a me piacciono ❤,LOVE
Elettra io avevo il cuore spento ma tu me l' hai riacceso grazie.,LOVE
La canzone più bella del festival terzultima poi quella più brutta arriva prima,TRUST - DISAPPOINTMENT
elettra mi piaci tanto sei bellissima quando twerki davvero mi piace quando dici ridi cretino,DELIGHT
questa canzone e' bellissima la adoro,LOVE
intanto questa canzone passerà il radio molto più di tutte quelle arrivate alte in classifica. A me piace,DELIGHT
Elettra Lamborghini ti amooooooo ❤️ ci baciamo in bocca,LOVE
"Se la avesse pubblicata a fine maggio, sarebbe diventata probabilmente il tormentone dell'estate 2020",TRUST
Musica e divertimento fino al mattino,JOY
Elettra e un po' così ma alla fine della storia e molto brava e intelligente così sia,TRUST
Adoro questa canzone❤️,LOVE
"Video stupendo, però mi manca il twerk  Elettra sei unica ❤",TRUST - SADNESS
E una canzone bellissima ❤️,LOVE
Bella MI piace é mio preferito.,DELIGHT
Bella la canzone ❤❤❤,LOVE
