,TESTO,EMOZIONI
0,Non so perché ma questa ragaza mi piace molto perche ha il sorriso stampato in faccia♥️,LOVE - DELIGHT
1,"All'ariston bisbigliava, bloccatissima dall'emozione...purtroppo anche questo fa la differenza. La canzone, checché se ne dica, è valida. Magari di scarso spessore ma ha le potenzialità per diventare un tormentone.",TRUST
2,Purtroppo all'Ariston era veramente tanto emozionata e non è venuta troppo bene ma la versione studio spacca secondo me!,TRUST - SADNESS
3,Sei bravissima,TRUST
4,Elettra sposami scrivimi in privato ❤️bona,LOVE
5,"Sinceramente, preferisco questa versione di Elettra, voglio dire che non mostra solo diciamo il culo ma il suo bel viso e in questa versione elegante è davvero il top ♥️",LOVE
6,Grande musica ❤,LOVE
7,ultra ricca ma con meno puzza sotto il naso di tanti artisti ... a Sanremo ogni giorno scendeva dai i suoi fan e si lasciava fare tutte le foto del mondo ... complimenti,TRUST
8,Sempre più convinto che questo sia stato il momento più alto che ci regalerà questo 2020,LOVE
9,B bravissima Elettra Lamborghini ❤️,LOVE
10,Musica e il Corona virus scompare.....tutti uniti forza Italia.,OPTIMISM
11,Tutti a criticarla per come ha cantato a Sanremo ma nessuno si è accorto di quanto fosse ammalata durante l esibizione? Io non so voi ma molti al posto suo si sarebbero ritirati invece lei ha tenuto duro e nonostante stesse in condizioni pessime ha voluto provare a mettersi in gioco.... veramente bravissima e complimenti per non aver detto sul palco delle tue condizioni e della voce che sarebbe stata provata,TRUST
12,Mettete like se vi piace questa canzone ed è bravissima E scrivete nei commenti che è bravissima,TRUST
13,ELETTRA E BELLISSIMA,TRUST
14,"amo troppo la tua canzone, saluti dal Messico",LOVE
15,"la canzone è carina e orecchiabile, Elettra bellissima e il primo video che mi piace molto e legate !!",TRUST - DELIGHT
16,secondo me Elettra ha una voce spettacolare ed in più la canzone ha un significato molto bello,TRUST
17,Sei bravissima ❤️❤️ ☺️,LOVE
18,Sei il mio idolo,TRUST
19,Wow brava Elettra,TRUST
20,.. è sullonda solo xke si kiama lamborghini Capaci tutti,DISGUST
21,In questi commenti mancano un po' di insulti creativi: strano che a questo video non abbiamo dato un limite per i minori,DISAPPOINTMENT
22,Complimenti brava è una bella canzone. Insieme vinceremo e passerà questo brutto momento. https://youtu.be/FMY-QVoA_R4,TRUST - OPTIMISM
23,Ma quanto è bella elettra in versione vestiti eleganti??? Edit:la preferisco in questa versione♥️,LOVE
24,l unica cosa bella sono i cavalli (scusate ma dovevo),DISGUST
25,"Per il video ha racimolato un cavallo della Ferrari, 12 ballerine brave ma (tirocinanti) la location sarà roba sua ... totale 2 € di video",CONTEMPT
26,"Mi piace questa versione di Elettra, più dolce, raffinata, elegante, brava!",TRUST - DELIGHT
27,"Molto bella la canzone,ieri si è rivelata semplicemente umana e che l'emozione colpisce tutti anche chi è abituato ai riflettori,grade elettra",TRUST
28,IL CARCINOMA DELLA MUSICA ODIERNA. SE FOSSI RICCO PAGHEREI UN SICARIO PER FARLA FUORI.,ANGER
29,Ti adoro sei lamugliore mi sono iscrita❤,LOVE
30,"Io credo che sia diversa dal suo genere è stato un peccato non ascoltare bene a Sanremo la sua voce per via dell'emozione come è successo ad altri cantanti...la adoro già ed è molto emozionante,continua così Elettra ❤️❤️❤️",LOVE - SENTIMENTALITY
31,❤❤❤❤❤❤❤❤,LOVE
32,Elettra Lamborghini che twerka in faccia all'alta borghesia di sanremo è già il momento piu alto del 2020,JOY
33,"Raffinata, brava ,bella ,e ama la musica prima di tutto! .Ritmo perfetto!",TRUST
34,"Questa ragazza mi piace, perché nonostante la prendano in giro, lei sorride sempre. Addirittura posta le battute o foto comiche su di lei, senza problemi.",DELIGHT
35,"PER ME questa canzone è bella molto orecchiabile,si vede che Elettra ci ha messo se stessa un enorme complimento alle ballerine veramente perfette e bravissime",TRUST
36,"La canzone è bella, funzionerebbe bene in radio, purtroppo ieri a Sanremo Elettra era molto emozionata, ma ci sta, è umana. Il video musicale è di alta qualità, fatto bene, complimenti",TRUST - SADNESS
37,ELETTRA NUMERO UNO!!!!,TRUST
38,Complimenti brava è una bella canzone.,TRUST
39,"Sarò strano io, ma sto pezzo rimane in testa, a me piace",DELIGHT
40,"dite quello che volete, ma questo pezzo ci accompagnerà a martello per mesi",TRUST
41,Che bella eletta e a una voce bellissima,TRUST
42,Elettraaaaaa sei uno spaaasssoooooo TOP,OPTIMISM
43,Caio ELETTRA SEI PIÙ BRAVA DI ME MUSICA TEMPO SCOMPARE,TRUST
44,Io non capisco Chi ha osato mettere dislike fa schifo pk io Elettra la stimo ❤️ Dopo tutte le prese in giro lei sta ancora andando avanti Elettra continua così ❤️❤️❤️ ❤️,LOVE - ANGER
45,Ti adoro il mio idolo❤️❤️,LOVE
46,Ciao Elettra come stai lo e mia sorella ti amiamo moltissimo,LOVE
47,❤️❤️❤️❤️❤️❤️,LOVE
48,"Anche se non ha vinto a Sanremo questa bellissima canzone, però è diventato un vero tormentone, è la canzone più ascoltata da dopo Sanremo, mi dispiace dirlo ma la canzone di Diodiato non è stata apprezzata come questa è una vera perla❤",LOVE
49,"tante critiche a lei e la sua canzone, io dico che ce n'erano almeno 15 peggio....poteva arrivare tranquillamente tra le prime 8.....canticchiabile, orecchiabile, lei dolce e bella",TRUST - DISAPPOINTMENT
50,LA ADORO ❤️ MI PIACE TANTISSIMO ❤,LOVE
51,Questa canzone è così bella che l'ascolto mentre mangio,TRUST
52,"Non mi capacito di come possa piacermi questa canzone, ma prende troppo come despacito. Ciao Elettra, ti chiamo col tuo nome!!",DELIGHT
53,bellissimaa me la sento anche quando dormo e sto sveglia per elettra tutto vorrei che fosse la mia sorella,TRUST
54,"Ti voglio tanto bene,♥️",LOVE
55,Adoro questa canzone,LOVE
56,N c s. Potremmo fare tanta bella musica ma ci riduciamo a questo.,DISAPPOINTMENT
57,Brava! Elettra mi piace la canzone e bellissima brava davvero. A eti volevo dire che sei bellissima ❤e so anche che ti piacciono i cavalli anche a me piacciono ❤,LOVE
58,Elettra io avevo il cuore spento ma tu me l' hai riacceso grazie.,LOVE
59,La canzone più bella del festival terzultima poi quella più brutta arriva prima,TRUST - DISAPPOINTMENT
60,elettra mi piaci tanto sei bellissima quando twerki davvero mi piace quando dici ridi cretino,DELIGHT
61,questa canzone e' bellissima la adoro,LOVE
62,intanto questa canzone passerà il radio molto più di tutte quelle arrivate alte in classifica. A me piace,DELIGHT
63,Elettra Lamborghini ti amooooooo ❤️ ci baciamo in bocca,LOVE
64,"Se la avesse pubblicata a fine maggio, sarebbe diventata probabilmente il tormentone dell'estate 2020",TRUST
65,Musica e divertimento fino al mattino,JOY
66,Elettra e un po' così ma alla fine della storia e molto brava e intelligente così sia,TRUST
67,Adoro questa canzone❤️,LOVE
68,"Video stupendo, però mi manca il twerk  Elettra sei unica ❤",TRUST - SADNESS
69,E una canzone bellissima ❤️,LOVE
70,Bella MI piace é mio preferito.,DELIGHT
71,Bella la canzone ❤❤❤,LOVE
72,Ciao elettra. Sei bravissimaaaa a mi presento sono Victoria un bacio ciao ☺buona notte,TRUST
73,Queen! Grande Elettraaaaaaaaaaa,TRUST
74,Ele ti seguo da un po,TRUST
75,Ho rivalutato Elettra ha più cervello di molte finte moraliste intelligenti,TRUST
76,"Punto primo...amo sta canzone ma davvero tanto, Punto secondo... quanto cavolo puoi essere bella❤❤❤",LOVE
77,Un sole ❤️ allegra vera sincera bellissima,LOVE
78,"La parte che mi piace di più e "" anche se non mi hai detto mai quanto sei bella, e non ho mai smesso di sorridere",DELIGHT
79,Voglio dire che mi hai cambiato la vita♥️♥️♥️,LOVE
80,QUEEN!! ✈️❤️,LOVE
81,Il twerkone sul palco di Sanremo è tutto il 2020.,JOY
82,E la canzone più bella che ai mai fatto ti amo Elettra Lamborghini ❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️,LOVE
83,Elettra elegante è stupenda !,JOY
84,Ciao eletra mi piaciono tu le tu canzoni,DELIGHT
85,Di una dolcezza e sincerità totalmente sfrontata. È assolutamente adorabile. Chi critica non riesce ad andare oltre le 'finte' apparenze.,TRUST
86,Tutti che ascoltano Diodato ma alla fine su Spotify andiamo tutti ad ascoltare INNAMORATA DI UN ALTRO CABRÒN,LOVE
87,Troppo bella e brava a cantare,TRUST
88,Perché sta merda ha tutte ste views?,OUTRAGE
89,Sei bella ❤️❤️,LOVE
90,Che Spettacolo,JOY
91,amo questa musica,LOVE
92,"Quel ""Elettra, Elettra Lamborghini"" fa impazzire Comunque mi ha sorpreso tantissimo, il ritmo poi è bellissimo.",DELIGHT
93,E la cazone piu bella dele 2020 dopo Bendo,TRUST
94,Tecnicamente sarebbe perfetta questa musicalità per l’eurovision,TRUST
95,Bellissima questa canzone,TRUST
96,Seguo tutte le sue canzoni ❤❤❤❤,LOVE
97,Elettra sei grandissima. Brava,TRUST
98,Musica per le mie orecchie♥️,LOVE
99,Ma quanto è più bella senza mostrare solo il culo Cioè ha un viso molto bello secondo me e dovrebbe essere lodata per questo non per le sue forme ok.,TRUST
100,Ti amo Elettra Lamborghini,LOVE
101,Sei bellissima e bravissimo,TRUST
102,Questa canzone la ascolto 100 al giorno perché è bellissima e mi fa sentire calma ❤️❤️anche tutte le sue canzoni sono magnifiche✌️,LOVE
103,Wow sei bravissima la guardo sempre pure quando lavo la casa ❤ bravissima complimenti,LOVE
104,Un video di Elettra senza twerk è come un pc senza alimentatore,DISAPPOINTMENT
105,Like a chi ama elettra Elettra Lamborghini,LOVE
106,Brava tesoro sei unica resto e invidia e gelosia..tutti caproni,TRUST
107,"Bravissima Elettra, l’ho amata fin dal primo ascolto al festival, certo la versione incisa è un’altra cosa, è anche normale...però c’è da dire che a differenza di tutte le altre 23 canzoni in gara questa è l’unica che ti rimane in testa, è tutto il giorno che la canticchio, Elettra obbiettivo raggiunto",LOVE
108,"Era talmente emozionata che le parole non si capivano bene, adorabile ❤",LOVE
109,"Strampalata,simpatica brava e bellissima",TRUST
110,Quanto sei figa Elettra sei stupenda,TRUST
111,Sei la mia idola mi piace un sacco quando turchi mi puoi lasliare un cuore mi farebbe piacere comunicare prava a cantare io ti adoro ❤️,LOVE
112,"Brava sei davvero brava, le tue canzoni sono molto orecchiabili",TRUST - DELIGHT
113,BRAVISSIMA TI AMO ❤️,LOVE
114,E ti fa stare subito bene ❤️,LOVE
115,Questa canzone è la prima che ti entra in testa e sarà l'ultima ad uscire,JOY
116,Musica resto scompareee❤️❤️❤️,LOVE
117,Elettra sei bellissima e fantastica ❤️,LOVE
118,Musica e il virus scompare ❤,LOVE - OPTIMISM
119,Io ti adoro ♥️♥️♥️♥️♥️,LOVE
120,Bellino canzone !,TRUST
121,Ciao Elettra sei carina❤️❤️,LOVE
122,Elettra ❤️❤️❤️❤️,LOVE
